,feature,BackwardElimination,MutualInformation,RFE,VarianceThreshold,VIF,STEF-Rank
0,FlowID,1,1,0,1,1,0.85
1,SourceIP,0,1,1,0,1,0.975
2,SourcePort,0,1,1,1,1,0.7
3,DestinationIP,1,1,1,0,1,0.95
4,DestinationPort,1,1,0,1,1,0.8
5,Protocol,1,1,1,1,0,0.725
6,FlowDuration,1,1,1,0,0,0.675
7,TotalFwdPackets,0,0,1,0,0,0.525
8,TotalBackwardPackets,0,1,1,0,0,0.425
9,TotalLengthofFwdPackets,1,1,1,0,0,0.475
10,TotalLengthofBwdPackets,1,1,1,0,0,0.375
11,FwdPacketLengthMax,0,1,0,0,0,0.725
12,FwdPacketLengthMin,1,1,0,1,0,0.65
13,FwdPacketLengthMean,1,1,1,1,0,0.7
14,FwdPacketLengthStd,1,0,0,0,0,0.7
15,BwdPacketLengthMax,1,1,1,0,0,0.675
16,BwdPacketLengthMin,1,0,1,0,1,0.65
17,BwdPacketLengthMean,0,1,1,0,0,0.65
18,BwdPacketLengthStd,1,0,1,0,0,0.675
19,FlowBytes/s,0,1,1,1,0,0.725
20,FlowPackets/s,1,1,1,1,0,0.7
21,FlowIATMean,0,1,0,0,0,0.5
22,FlowIATStd,1,1,0,0,0,0.7
23,FlowIATMax,1,1,1,0,0,0.675
24,FlowIATMin,1,0,1,0,0,0.5
25,FwdIATTotal,1,1,1,0,0,0.7
26,FwdIATMean,1,1,1,0,0,0.7
27,FwdIATStd,1,0,0,0,0,0.7
28,FwdIATMax,1,1,0,0,0,0.675
29,FwdIATMin,0,0,1,0,0,0.45
30,BwdIATTotal,1,1,0,0,1,0.575
31,BwdIATMean,1,1,0,0,0,0.45
32,BwdIATStd,1,0,0,0,0,0.575
33,BwdIATMax,1,1,0,0,0,0.675
34,BwdIATMin,0,1,0,0,1,0.925
35,FwdPSHFlags,1,0,1,0,0,0.6
36,BwdPSHFlags,0,0,1,0,0,0.125
37,FwdURGFlags,0,0,1,0,0,0.075
38,BwdURGFlags,0,0,1,0,0,0.075
39,FwdHeaderLength,0,0,1,0,0,0.575
40,BwdHeaderLength,0,1,1,0,1,0.45
41,FwdPackets/s,1,1,1,1,0,0.65
42,BwdPackets/s,1,1,1,0,0,0.45
43,MinPacketLength,1,1,0,1,0,0.6
44,MaxPacketLength,0,1,1,0,0,0.65
45,PacketLengthMean,1,1,1,1,0,0.6
46,PacketLengthStd,0,1,1,0,0,0.65
47,PacketLengthVariance,1,1,0,0,0,0.675
48,FINFlagCount,0,0,0,0,0,0.075
49,SYNFlagCount,0,0,1,0,1,0.6
50,RSTFlagCount,0,0,1,0,0,0.575
51,PSHFlagCount,0,0,0,0,0,0.1
52,ACKFlagCount,1,0,0,0,1,0.675
53,URGFlagCount,1,1,0,1,1,0.625
54,CWEFlagCount,0,0,0,1,1,0.9
55,ECEFlagCount,0,0,0,0,0,0.1
56,Down/UpRatio,1,1,0,0,1,0.95
57,AveragePacketSize,0,1,0,1,0,0.675
58,AvgFwdSegmentSize,0,1,1,1,0,0.65
59,AvgBwdSegmentSize,1,1,1,0,0,0.675
60,FwdHeaderLength.1,1,0,1,0,0,0.575
61,FwdAvgBytes/Bulk,1,0,0,0,0,0.15
62,FwdAvgPackets/Bulk,0,0,0,0,0,0.125
63,FwdAvgBulkRate,0,0,0,0,0,0.125
64,BwdAvgBytes/Bulk,0,0,0,0,0,0.1
65,BwdAvgPackets/Bulk,0,0,0,0,0,0.1
66,BwdAvgBulkRate,0,0,0,0,0,0.075
67,SubflowFwdPackets,1,0,1,0,0,0.45
68,SubflowFwdBytes,0,1,1,0,0,0.325
69,SubflowBwdPackets,1,1,1,0,0,0.425
70,SubflowBwdBytes,0,1,1,0,0,0.475
71,Init_Win_bytes_forward,1,1,0,0,1,0.925
72,Init_Win_bytes_backward,1,1,0,0,1,0.875
73,act_data_pkt_fwd,1,1,1,0,1,0.425
74,min_seg_size_forward,0,0,0,1,0,0.5
75,ActiveMean,0,0,1,0,0,0.6
76,ActiveStd,1,0,1,0,0,0.425
77,ActiveMax,1,0,1,0,0,0.45
78,ActiveMin,1,0,1,0,0,0.525
79,IdleMean,1,0,1,0,0,0.6
80,IdleStd,1,0,1,0,0,0.45
81,IdleMax,0,0,1,0,0,0.675
82,IdleMin,1,0,1,0,0,0.75
83,SimillarHTTP,1,0,0,0,1,0.675
84,Inbound,1,1,0,1,0,0.625
