,feature,rank
0,FlowID,1.0
1,SourceIP,0.0
2,SourcePort,1.0
3,DestinationIP,0.0
4,DestinationPort,1.0
5,Protocol,0.0
6,FlowDuration,0.0
7,TotalFwdPackets,0.0
8,TotalBackwardPackets,0.0
9,TotalLengthofFwdPackets,0.0
10,TotalLengthofBwdPackets,0.0
11,FwdPacketLengthMax,0.0
12,FwdPacketLengthMin,0.0
13,FwdPacketLengthMean,0.0
14,FwdPacketLengthStd,0.0
15,BwdPacketLengthMax,0.0
16,BwdPacketLengthMin,0.0
17,BwdPacketLengthMean,0.0
18,BwdPacketLengthStd,0.0
19,FlowBytes/s,0.0
20,FlowPackets/s,0.0
21,FlowIATMean,0.0
22,FlowIATStd,0.0
23,FlowIATMax,0.0
24,FlowIATMin,0.0
25,FwdIATTotal,0.0
26,FwdIATMean,0.0
27,FwdIATStd,0.0
28,FwdIATMax,0.0
29,FwdIATMin,0.3
30,BwdIATTotal,0.0
31,BwdIATMean,0.0
32,BwdIATStd,0.0
33,BwdIATMax,0.0
34,BwdIATMin,1.0
35,FwdPSHFlags,0.0
36,BwdPSHFlags,0.0
37,FwdURGFlags,0.0
38,BwdURGFlags,0.0
39,FwdHeaderLength,0.0
40,BwdHeaderLength,0.0
41,FwdPackets/s,0.0
42,BwdPackets/s,0.0
43,MinPacketLength,0.0
44,MaxPacketLength,0.0
45,PacketLengthMean,0.0
46,PacketLengthStd,0.0
47,PacketLengthVariance,0.0
48,FINFlagCount,0.0
49,SYNFlagCount,0.0
50,RSTFlagCount,0.0
51,PSHFlagCount,0.0
52,ACKFlagCount,0.0
53,URGFlagCount,0.0
54,CWEFlagCount,0.1
55,ECEFlagCount,0.0
56,Down/UpRatio,0.0
57,AveragePacketSize,0.0
58,AvgFwdSegmentSize,0.0
59,AvgBwdSegmentSize,0.0
60,FwdHeaderLength.1,0.0
61,FwdAvgBytes/Bulk,0.0
62,FwdAvgPackets/Bulk,0.0
63,FwdAvgBulkRate,0.0
64,BwdAvgBytes/Bulk,0.0
65,BwdAvgPackets/Bulk,0.0
66,BwdAvgBulkRate,0.0
67,SubflowFwdPackets,0.0
68,SubflowFwdBytes,0.0
69,SubflowBwdPackets,0.0
70,SubflowBwdBytes,0.0
71,Init_Win_bytes_forward,0.0
72,Init_Win_bytes_backward,0.0
73,act_data_pkt_fwd,0.0
74,min_seg_size_forward,0.0
75,ActiveMean,0.0
76,ActiveStd,0.0
77,ActiveMax,0.0
78,ActiveMin,0.0
79,IdleMean,0.0
80,IdleStd,0.0
81,IdleMax,0.0
82,IdleMin,0.0
83,SimillarHTTP,0.0
84,Inbound,0.0
85,Label,0.0
